measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,France,Both,1 to 4,Diabetes mellitus,Percent,2019,0.0005982468990652443,0.0009501487060907129,0.00033216240877241386
Prevalence,France,Both,5 to 9,Diabetes mellitus,Percent,2019,0.002090461351719311,0.003224922471842944,0.0010955691257391112
Prevalence,France,Both,10 to 14,Diabetes mellitus,Percent,2019,0.003655953820939584,0.005060466762193152,0.002423502638999404
Prevalence,France,Both,15 to 19,Diabetes mellitus,Percent,2019,0.004762265607432706,0.006287529779433535,0.003461077772780404
Prevalence,France,Both,20 to 24,Diabetes mellitus,Percent,2019,0.007425326170480507,0.009293126918425463,0.005894582343123287
Prevalence,France,Both,25 to 29,Diabetes mellitus,Percent,2019,0.011851460497145902,0.014844890424360472,0.009380713664994333
Prevalence,France,Both,30 to 34,Diabetes mellitus,Percent,2019,0.016100132616533862,0.019688297828618258,0.01309391426197851
Prevalence,France,Both,35 to 39,Diabetes mellitus,Percent,2019,0.021200824018574402,0.025289166576073004,0.017787221150376332
Prevalence,France,Both,40 to 44,Diabetes mellitus,Percent,2019,0.028057748750066842,0.03302824803224902,0.023389330085603437
Prevalence,France,Both,45 to 49,Diabetes mellitus,Percent,2019,0.03875959805971845,0.044422289303533355,0.03293713629128657
Prevalence,France,Both,50 to 54,Diabetes mellitus,Percent,2019,0.053769651625638556,0.06128387561792539,0.04615561236137249
Prevalence,France,Both,55 to 59,Diabetes mellitus,Percent,2019,0.07385374626017586,0.08312214031672636,0.06506306734816258
Prevalence,France,Both,60 to 64,Diabetes mellitus,Percent,2019,0.09785539590614128,0.1105009493052141,0.08601086940935038
Prevalence,France,Both,65 to 69,Diabetes mellitus,Percent,2019,0.1221877378885448,0.1366848184496136,0.10863121939917414
Prevalence,France,Both,70 to 74,Diabetes mellitus,Percent,2019,0.14360708485877086,0.1590339338940075,0.12869928204163816
Prevalence,France,Both,75 to 79,Diabetes mellitus,Percent,2019,0.1536666957534979,0.17001362223302147,0.13794623215087462
Prevalence,France,Both,80 to 84,Diabetes mellitus,Percent,2019,0.15185489404044503,0.1675939311787229,0.1361324485686688
Prevalence,France,Both,85 to 89,Diabetes mellitus,Percent,2019,0.14290077039578813,0.1579780786607328,0.12717079915694093
Prevalence,France,Both,90 to 94,Diabetes mellitus,Percent,2019,0.12689016389766009,0.14127293274479136,0.11148218204348868
Prevalence,Spain,Both,1 to 4,Diabetes mellitus,Percent,2019,0.0008534311089128765,0.0012730144364217608,0.0005166830507128126
Prevalence,Spain,Both,5 to 9,Diabetes mellitus,Percent,2019,0.002374334988229929,0.0036005274777982663,0.001326654742233197
Prevalence,Spain,Both,10 to 14,Diabetes mellitus,Percent,2019,0.004051913032262818,0.005515355203502483,0.002759178354525172
Prevalence,Spain,Both,15 to 19,Diabetes mellitus,Percent,2019,0.006087784396507365,0.007718404588723228,0.004917562703939356
Prevalence,Spain,Both,20 to 24,Diabetes mellitus,Percent,2019,0.014140963921769396,0.018102226270478562,0.010969120181893912
Prevalence,Spain,Both,25 to 29,Diabetes mellitus,Percent,2019,0.02312428168371755,0.029068357325373325,0.018163048086641542
Prevalence,Spain,Both,30 to 34,Diabetes mellitus,Percent,2019,0.03128740214361921,0.03830257084328568,0.025598504447150495
