Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Afghanistan,68.957,215.625,229.545,187.711,129.641,60.52,19.041
Africa,94.967,200.45,213.302,177.078,126.803,57.387,17.688
African Group,95.026,200.562,213.407,177.157,126.887,57.442,17.714
African Union,95.001,200.511,213.359,177.122,126.863,57.432,17.712
African Union: Central Africa,119.707,239.61,256.861,217.304,171.905,79.43,19.073
African Union: Eastern Africa,84.261,201.06,218.688,177.138,122.984,57.929,19.62
African Union: Northern Africa,38.224,147.488,164.555,134.393,87.916,32.857,6.406
African Union: Southern Africa,112.746,184.533,177.601,141.739,96.437,42.523,10.429
African Union: Western Africa,111.507,218.167,238.14,209.423,157.916,74.92,28.033
"African, Caribbean and Pacific (ACP) Group of States",101.627,205.823,217.943,182.32,132.721,61.354,19.533
Albania,19.642,92.833,112.516,69.469,25.224,4.076,0.24
Algeria,10.071,91.378,155.392,161.247,126.703,57.059,8.15
Andean Community,65.789,104.213,104.175,80.045,50.037,19.536,3.806
Angola,150.526,238.503,249.881,222.164,159.172,73.149,16.605
Antigua and Barbuda,42.782,98.316,123.289,86.403,40.15,8.492,0.568
Argentina,62.782,102.826,102.893,100.136,63.934,18.766,2.263
Armenia,21.49,112.015,124.025,62.819,27.074,3.757,0.0
Aruba,22.674,82.308,123.335,101.448,43.171,6.714,0.35
Asia,24.482,132.479,136.725,85.023,37.166,12.023,2.49
Asia-Pacific Economic Cooperation (APEC),22.882,101.561,112.357,79.145,38.119,11.156,1.482
Asia-Pacific Group,24.485,132.505,136.778,85.037,37.174,12.063,2.528
Association of Southeast Asian Nations (ASEAN),43.046,111.106,119.745,95.579,52.963,17.474,3.991
Australia,11.715,46.413,93.931,122.384,73.821,16.825,1.231
Australia/New Zealand,13.006,49.267,94.642,121.299,72.994,16.505,1.164
Austria,7.34,42.206,88.694,100.927,55.051,11.01,0.612
Azerbaijan,55.838,164.663,113.68,55.834,22.347,3.925,0.413
BRIC,14.838,134.028,132.568,72.375,26.851,9.345,1.692
BRICS,15.983,133.73,132.441,72.707,27.392,9.517,1.739
Bahamas,30.001,96.652,83.692,67.83,53.096,17.758,2.971
Bahrain,13.368,92.144,110.351,98.119,60.909,21.168,3.581
Bangladesh,82.962,135.955,105.004,54.53,23.61,5.84,2.499
Barbados,33.55,70.534,76.039,71.551,53.424,16.722,2.18
Belarus,14.507,82.143,115.425,84.623,38.689,6.408,0.185
Belgium,4.651,35.716,104.269,122.377,60.959,14.22,0.768
Belize,68.487,133.559,115.681,83.178,47.532,13.958,1.605
Belt-Road Initiative (BRI),63.536,147.598,156.646,123.161,74.119,26.872,6.861
Belt-Road Initiative: Africa,90.887,197.021,211.056,174.918,125.576,56.919,17.157
Belt-Road Initiative: Asia,46.103,128.687,138.306,105.359,55.654,17.207,4.294
Belt-Road Initiative: Europe,17.109,63.822,98.158,84.555,43.097,9.593,0.651
Belt-Road Initiative: Latin America and the Caribbean,67.586,107.426,101.963,77.533,46.126,15.769,2.663
Belt-Road Initiative: Pacific,43.571,139.877,148.681,135.478,91.195,35.427,13.415
Benin,86.096,227.936,267.225,205.01,119.672,50.719,16.842
Bhutan,20.184,101.944,125.092,88.7,42.004,19.012,3.064
Black Sea Economic Cooperation (BSEC),25.121,88.31,112.781,84.843,41.668,8.432,0.754
Bolivarian Alliance for the Americas (ALBA),75.774,126.701,110.548,78.934,44.875,14.594,2.703
Bolivia (Plurinational State of),64.9,131.076,128.887,113.702,77.385,28.176,5.874
Bosnia and Herzegovina,9.642,43.243,88.659,78.113,29.314,4.808,0.221
Botswana,46.061,152.107,182.59,114.294,58.965,22.096,2.767
Brazil,59.111,87.519,83.106,68.535,38.6,10.332,0.797
Brunei Darussalam,10.272,53.044,118.168,112.338,60.16,14.512,1.146
Bulgaria,39.86,71.461,88.415,71.398,32.661,7.044,0.841
Burkina Faso,104.329,232.793,254.869,211.943,153.553,70.305,18.508
Burundi,55.59,210.37,245.25,234.35,199.47,115.54,29.43
Cabo Verde,73.759,116.005,119.978,73.952,46.48,24.794,2.732
Cambodia,50.177,163.055,146.059,91.723,39.366,11.054,3.326
Cameroon,105.8,211.224,210.035,187.841,138.591,50.539,16.57
Canada,8.387,37.053,86.307,106.038,55.169,11.345,0.701
Caribbean,60.105,114.53,112.775,84.649,49.159,16.919,2.162
Caribbean Community and Common Market (CARICOM),51.38,114.533,129.468,107.471,74.468,33.22,4.774
Central African Republic,129.074,218.305,206.52,175.453,122.452,70.435,28.581
Central America,64.003,122.191,120.058,81.907,44.553,11.873,2.269
Central Asia,30.783,196.208,168.975,100.393,44.029,9.243,0.519
Central European Free Trade Agreement (CEFTA),14.943,58.791,92.264,77.792,35.216,6.448,0.388
Central and Southern Asia,26.191,157.549,157.881,91.106,34.545,11.073,3.476
Chad,161.09,258.686,254.86,219.054,166.157,76.678,22.935
Channel Islands,6.864,34.918,95.174,106.97,48.952,7.219,0.303
Chile,41.052,63.495,75.861,80.896,54.859,13.299,0.538
China,7.635,116.69,117.234,63.061,23.169,9.17,1.041
China (and dependencies),7.554,114.555,116.101,63.728,24.034,9.176,1.026
"China, Hong Kong SAR",2.705,19.466,60.303,102.337,66.766,13.119,0.544
"China, Macao SAR",2.381,41.114,78.142,73.097,38.664,6.297,0.305
"China, Taiwan Province of China",3.841,17.501,58.029,91.524,50.655,8.225,0.225
Colombia,66.651,92.569,90.756,61.293,36.445,13.454,2.832
Commonwealth of Independent States (CIS),25.922,126.168,127.103,84.706,39.912,8.417,0.469
Commonwealth of Nations,43.22,161.92,166.313,108.217,52.931,19.621,5.976
Commonwealth: Africa,102.172,202.759,208.643,174.51,129.223,59.583,19.894
Commonwealth: Asia,23.323,155.24,158.625,89.682,32.26,10.451,3.346
Commonwealth: Caribbean and Americas,17.387,50.066,89.662,100.793,53.858,11.407,0.85
Commonwealth: Europe,13.196,53.02,95.004,108.021,63.942,13.851,0.92
Commonwealth: Pacific,27.861,89.539,116.905,128.05,80.742,23.573,5.301
Comoros,65.351,172.769,193.833,208.186,122.763,56.514,27.884
Congo,112.229,197.224,194.287,176.932,128.961,65.86,14.507
Costa Rica,53.46,94.436,84.42,69.882,39.773,10.135,0.674
Countries with Access to the Sea,38.443,129.313,137.459,96.874,50.295,16.457,3.358
Countries with Access to the Sea: Africa,92.552,194.932,209.073,172.949,124.733,54.939,16.236
Countries with Access to the Sea: Asia,23.239,130.127,135.699,84.422,36.64,11.866,2.458
Countries with Access to the Sea: Europe,12.482,53.077,95.342,96.402,53.333,12.185,0.791
Countries with Access to the Sea: Latin America and the Caribbean,62.885,104.5,101.148,77.327,44.545,13.32,1.903
Countries with Access to the Sea: Northern America,18.856,68.751,98.429,100.834,51.783,11.143,0.741
Countries with Access to the Sea: Oceania,27.89,89.794,117.114,127.598,80.343,23.457,5.206
Croatia,8.681,39.352,88.832,96.645,46.587,8.68,0.443
Cuba,51.592,95.945,87.743,57.166,25.481,5.073,0.32
Curaçao,27.942,82.406,100.247,85.433,43.793,11.926,0.253
Cyprus,4.582,41.109,95.823,86.838,33.386,5.029,0.733
Czechia,11.972,46.694,101.106,111.457,48.148,8.414,0.469
Côte d'Ivoire,117.627,200.051,208.092,191.777,134.363,64.949,19.141
Dem. People's Republic of Korea,0.283,44.051,192.654,128.827,14.015,1.822,0.348
Democratic Republic of the Congo,124.22,255.765,284.988,232.731,189.074,87.553,18.369
Denmark,4.123,35.373,110.385,129.458,60.567,11.777,0.737
Denmark (and dependencies),4.544,36.417,110.852,129.068,60.438,11.775,0.734
Djibouti,18.841,63.476,121.383,156.98,127.725,49.848,13.287
Dominican Republic,94.26,143.94,115.453,76.145,31.931,8.336,1.935
ECE: North America-2,18.855,68.751,98.427,100.837,51.786,11.144,0.741
ECE: UNECE-52,17.639,73.908,104.854,98.06,51.856,11.396,0.798
ECLAC: Latin America,63.373,105.31,101.882,78.151,45.208,13.663,1.992
ECLAC: The Caribbean,42.956,97.85,100.821,75.3,43.342,10.87,1.196
ESCAP region: East and North-East Asia,7.091,106.283,114.288,67.491,26.785,9.134,0.95
ESCAP region: North and Central Asia,27.033,135.647,134.53,90.05,42.628,9.088,0.495
ESCAP region: Pacific,27.896,89.801,117.112,127.605,80.358,23.461,5.207
ESCAP region: South and South-West Asia,26.061,153.752,156.352,91.216,34.976,11.044,3.486
ESCAP region: South-East Asia,43.021,111.231,119.948,95.736,53.049,17.517,4.012
ESCAP: ADB Developing member countries (DMCs),24.257,139.251,138.835,81.306,33.273,11.379,2.458
ESCAP: ADB Group A (Concessional assistance only),51.665,159.386,147.888,104.805,62.167,25.505,6.341
ESCAP: ADB Group B (OCR blend),23.743,159.014,159.845,88.769,31.548,10.395,3.468
ESCAP: ADB Group C (Regular OCR only),21.437,115.355,118.898,73.181,32.584,11.216,1.672
ESCAP: ASEAN,43.046,111.106,119.745,95.579,52.963,17.474,3.991
ESCAP: Central Asia,33.523,188.053,159.5,92.703,40.35,8.433,0.53
ESCAP: ECO,39.348,158.687,176.555,132.982,64.322,17.625,4.703
ESCAP: HDI groups,23.733,131.8,135.293,83.693,35.716,11.239,2.275
ESCAP: Landlocked countries (LLDCs),51.897,185.421,161.667,101.041,52.319,17.125,3.631
ESCAP: Least Developed Countries (LDCs),67.574,142.832,122.757,76.829,41.132,15.249,4.572
ESCAP: Pacific island dev. econ.,50.842,165.29,168.461,143.735,99.985,44.203,19.221
ESCAP: SAARC,25.549,158.756,159.82,89.665,32.572,10.91,3.56
ESCAP: WB High income econ.,4.802,26.764,71.457,103.365,57.551,10.46,0.379
ESCAP: WB Low income econ.,53.922,153.052,171.816,117.011,52.392,20.313,5.317
ESCAP: WB Lower middle income econ.,28.603,150.114,151.858,91.053,37.577,12.592,3.737
ESCAP: WB Upper middle income econ.,13.671,109.749,116.938,71.462,30.189,9.568,1.127
ESCAP: WB income groups,23.733,131.8,135.293,83.693,35.715,11.239,2.275
ESCAP: high HDI,4.711,26.542,71.345,103.391,57.542,10.439,0.376
ESCAP: high income,4.72,26.614,71.386,103.391,57.555,10.448,0.378
ESCAP: income groups,23.733,131.8,135.293,83.693,35.716,11.239,2.275
ESCAP: low HDI,26.381,158.437,158.763,90.066,33.924,11.673,3.776
ESCAP: low income,26.256,155.901,158.017,90.203,33.72,11.292,3.491
ESCAP: lower middle HDI,21.129,117.275,120.148,72.512,31.356,10.934,1.654
ESCAP: lower middle income,46.551,112.62,117.478,98.005,54.912,17.13,4.209
ESCAP: other Asia-Pacific countries/areas,39.532,116.639,151.864,127.847,86.006,33.364,8.136
ESCAP: upper middle HDI,27.369,90.752,121.619,100.894,52.428,11.577,1.547
ESCAP: upper middle income,10.256,111.735,118.283,69.189,28.21,9.42,1.025
ESCWA: Arab countries,46.683,146.983,174.576,141.317,96.078,38.69,9.577
ESCWA: Arab least developed countries,69.066,183.084,222.252,190.552,141.765,65.397,21.599
ESCWA: Gulf Cooperation Council countries,7.932,57.146,132.075,105.491,82.332,36.878,14.53
ESCWA: Maghreb countries,18.027,85.362,135.595,136.974,104.082,45.219,8.169
ESCWA: Mashreq countries,53.399,177.391,184.778,134.317,76.552,24.046,4.163
ESCWA: member countries,47.201,147.83,171.578,135.576,89.938,34.946,8.733
East African Community (EAC),94.185,210.374,217.67,173.942,123.853,60.102,17.807
Eastern Africa,93.69,205.974,214.103,174.207,121.22,58.403,19.396
Eastern Asia,7.044,104.967,113.57,67.824,27.207,9.12,0.941
Eastern Europe,21.087,74.928,105.15,82.418,39.272,8.203,0.438
Eastern European Group,21.942,77.736,105.342,81.82,38.748,8.047,0.444
